ipsedID,school,county,fipsCode,state,avgCasePerCapita,vaxPolicySchoolnameCHECK
237792,Shepherd University,Jefferson County,54037,WV,213.087424876847,Stanford University
237932,West Liberty University,Ohio County,54069,WV,227.938541871921,Webster University
238032,West Virginia University,Monongalia County,54061,WV,200.527197044335,Alvernia University
238616,Concordia University-Wisconsin,Ozaukee County,55089,WI,214.050321428571,Concordia University at Chicago
239071,Maranatha Baptist University,Jefferson County,55055,WI,217.61254679803,Mary Baldwin University
240189,University of Wisconsin-Whitewater,Walworth County,55127,WI,221.440827586207,University of Cincinnati
240374,University of Wisconsin-Parkside,Kenosha County,55059,WI,224.27082635468,University of Cincinnati
240417,University of Wisconsin-Stout,Dunn County,55033,WI,250.860422413793,University of Cincinnati
240471,University of Wisconsin-River Falls,Pierce County,55093,WI,230.952379310345,University of Cincinnati
240480,University of Wisconsin-Stevens Point,Portage County,55097,WI,218.365850985222,University of Connecticut-Avery Point
240727,University of Wyoming,Albany County,56001,WY,217.645751231527,University of Maine
241304,Columbia Central University-Caguas,Caguas Municipio,72025,PR,139.593705665025,Columbia University
241410,Pontifical Catholic University of Puerto Rico-Ponce,Ponce Municipio,72113,PR,110.159578817734,National University of Health Sciences
241614,Universidad Teologica del Caribe,Trujillo Alto Municipio,72139,PR,122.707736453202,University of Delaware
242617,Inter American University of Puerto Rico-San German,San Germán Municipio,72125,PR,88.3503830049261,Dominican University of California
243188,University of Puerto Rico-Utuado,Utuado Municipio,72141,PR,94.3863645320197,University of Puget Sound
243197,University of Puerto Rico-Mayaguez,Mayagüez Municipio,72097,PR,108.924587438424,University of Puget Sound
243221,University of Puerto Rico-Rio Piedras,San Juan Municipio,72127,PR,151.039102216749,University of Detroit Mercy
260813,Platt College-Aurora,Arapahoe County,8005,CO,197.137735221675,Clark College
383020,Midwest College of Oriental Medicine-Racine,Racine County,55101,WI,247.265233990148,Midwest College of Oriental Medicine-Evanston
384254,Beacon College,Lake County,12069,FL,200.751525862069,Boston College
438498,Stratford University,Alexandria City,51510,VA,164.605560344828,Stanford University
441937,California State University-Channel Islands,Ventura County,6111,CA,186.038466748769,California State University-Channel Islands
443784,Strayer University-Pennsylvania,Bucks County,42017,PA,169.12225,University of Pennsylvania
446048,Ave Maria University,Collier County,12021,FL,190.576939655172,Alvernia University
451820,The Art Institute of Austin,Bastrop County,48021,TX,210.950167487685,New York Institute of Technology
474906,Stevens-Henager College,Bonneville County,16019,ID,222.83997044335,Green River College
482680,University of North Georgia,Lumpkin County,13187,GA,180.951298029557,University of Northern Colorado
485111,Georgia Military College,Baldwin County,13009,GA,181.637185960591,Anna Maria College
488679,Indiana Wesleyan University-National & Global,Grant County,18053,IN,226.38009729064,Indiana University at Kokomo
489779,Purdue University Global,Marion County,18097,IN,201.003492610837,Aurora University
490805,Purdue University Northwest,Lake County,18089,IN,188.596060344828,Indiana University-Northwest
491613,Yeshiva Gedolah Tiferes Boruch,Somerset County,34035,NJ,178.360167487685,Yeshiva University
