announceDate,type,State,allEmployees,someEmployees,allStudents,resStudentsOnly,boosterRequired,statePol2020,school,url
2021-08-20,Public,WA,1,0,0,0,0,D,Cascadia College,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-07-15,Private,OH,1,0,1,0,1,R,Case Western Reserve University,https://case.edu/covid19/covid-19-communications/vaccination-requirements-case-western-reserve-university
2021-07-22,Public,VT,0,0,1,0,0,D,Castleton University,https://www.castleton.edu/covid-19-coronavirus-updates/covid-vaccine/
,Private,NC,1,0,1,0,0,R,Catawba College,https://catawba.edu/news-events/remain/plan/vaccination-policy/
2021-08-26,Private,IL,1,0,1,0,0,D,Catholic Theological Union at Chicago,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-05-10,Public,NY,1,0,1,0,1,D,Cayuga County Community College,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-05-11,Private,NY,1,0,1,0,0,D,Cazenovia College,https://www.cazenovia.edu/news/cazenovia-college-requiring-covid-19-vaccination-fall-2021-semester
,Private,LA,1,0,1,0,0,R,Centenary College of Louisiana,https://www.centenary.edu/directories/offices-services-directory/public-safety/covid-19-information/
2021-07-13,Private,NJ,1,0,1,0,0,D,Centenary University,https://www.centenaryuniversity.edu/coronavirus-communications/
2021-06-25,Public,CT,0,0,1,0,0,D,Central Connecticut State University,https://www.ct.edu/covid19#faqs
2021-08-25,Public,LA,0,0,1,0,0,R,Central Louisiana Technical Community College,https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates
2021-08-12,Public,ME,0,0,1,0,1,D,Central Maine Community College,https://www.mccs.me.edu/covid-19/vaccine-protocol/
2021-08-04,Public,NM,1,0,1,0,0,D,Central New Mexico Community College,https://www.cnm.edu/covid-19/vaccine-policy
2021-05-06,Public,WA,1,0,1,0,0,D,Central Washington University,http://www.cwu.edu/message-president-james-gaudino?fbclid=IwAR2F8DQ1D75NBrCsxgkq5OgJJGkwXWBkghX1eIIK4tZ5jSWDWNISlHBTgqU
2021-08-20,Public,WA,1,0,0,0,0,D,Centralia College,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
,Private,KY,0,0,1,0,0,R,Centre College,https://www.centre.edu/coronavirus/
2021-08-12,Public,CA,1,0,1,0,0,D,Cerro Coso College,https://do-prod-webteam-drupalfiles.s3-us-west-2.amazonaws.com/kccdedu/s3fs-public/KCCD%20RESOLUTION%20NO.%20R-4-21_FINAL081221%20-%20OK%20to%20Post.pdf
,Public,CA,1,0,0,0,0,D,Chabot College,http://districtazure.clpccd.org/policies/files/docs/BP7330.pdf
2021-07-15,For-profit,IL,1,0,1,0,0,D,Chamberlain University at Addison,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,GA,1,0,1,0,0,D,Chamberlain University at Atlanta,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,NC,1,0,1,0,0,R,Chamberlain University at Charlotte,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,IL,1,0,1,0,0,D,Chamberlain University at Chicago,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,OH,1,0,1,0,0,R,Chamberlain University at Cleveland,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,OH,1,0,1,0,0,R,Chamberlain University at Columbus,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,TX,1,0,1,0,0,R,Chamberlain University at Houston,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,IN,1,0,1,0,0,R,Chamberlain University at Indianapolis,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,TX,1,0,1,0,0,R,Chamberlain University at Irving,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,CA,1,0,1,0,0,D,Chamberlain University at Irwindale,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,FL,1,0,1,0,0,R,Chamberlain University at Jacksonville,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,NV,1,0,1,0,0,D,Chamberlain University at Las Vegas,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,FL,1,0,1,0,0,R,Chamberlain University at Miramar,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,LA,1,0,1,0,0,R,Chamberlain University at New Orleans,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,NJ,1,0,1,0,0,D,Chamberlain University at North Brunswick,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,TX,1,0,1,0,0,R,Chamberlain University at Pearland,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,AZ,1,0,1,0,0,D,Chamberlain University at Phoenix,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,CA,1,0,1,0,0,D,Chamberlain University at Sacramento,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,TX,1,0,1,0,0,R,Chamberlain University at San Antonio,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,MO,1,0,1,0,0,R,Chamberlain University at St. Louis,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,IL,1,0,1,0,0,D,Chamberlain University at Tinley Park,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,MI,1,0,1,0,0,D,Chamberlain University at Troy,https://www.chamberlain.edu/coronavirus-vaccine-policy
2021-07-15,For-profit,VA,1,0,1,0,0,D,Chamberlain University at Tysons Corner,https://www.chamberlain.edu/coronavirus-vaccine-policy
